"id","text","created_at","occurrence","statement_text"
"1","Ore wa?","","318","O chin chin ga daisuki nandayo"
"2","Sumimaesen","","159","O chin chin suki suki"
"3","O chin chin suki suki","","317","O chin chin ga daisuki nandayo"
"4","Omai wa mou shindeiru","","159","nani????"
"5","best anime character","","159","Mahouka tatsuya"
"6","Mahouka tatsuya","","159","Imouto san"
"7","Gabriel","","159","Gay shit"
"8","Gay shit","","159","Gay fag"
"9","Gay fag","","159","Waste of parents money"
"10","Waste of parents money","","159","Mahjong loser"
"11","name","","318","I'm chin chin"
"12","Who are you?","","317","I'm chin chin"
"13","Amin","","159","Awesomely cute"
"14","Waifu","","160","Something you dont have"
"15","world great?","","159","World is great with anime"
"16","Ace","","159","He is a cute crossdresser"
"17","Hello","","318","Nani oshimashka"
"18","Hello world","","317","Nani oshimashka"
"19","How are you","","159","I am feeling a big chin chin today"
"20","Imouto san","","15","hello"
"21","Imouto san","","1","wow"
"22","Imouto san","","1","onegaishimashka"
"23","Hello","","2","onegaishimashka"
"24","Hello world","","1","onegaishimashka"
"25","wow","","1","onegaishimashka"
"26","Imouto san","","4","How are you feeling"
"27","Imouto san","","2","What’s a Chin Chin"
"28","O chin chin ga daisuki nandayo","","1","Are you gay?"
"29","O chin chin ga daisuki nandayo","","331","Hello"
"30","O chin chin ga daisuki nandayo","","7","Wow"
"31","O chin chin ga daisuki nandayo","","3","How are you feeling?"
"32","O chin chin ga daisuki nandayo","","1","Tatsuya"
"33","O chin chin ga daisuki nandayo","","1","Shinkanshen"
"34","O chin chin ga daisuki nandayo","","1","Shinkansen"
"35","O chin chin ga daisuki nandayo","","6","Taj Mahal"
"36","O chin chin ga daisuki nandayo","","1","Wilson’s Long ultra dick"
"37","Gay fag","","1","Wilson’s Long ultra dick"
"38","Taj Mahal","","1","Wilson’s Long ultra dick"
"39","O chin chin ga daisuki nandayo","","1","Are you alive"
"40","O chin chin ga daisuki nandayo","","1","What is the Taj Mahal?"
"41","O chin chin ga daisuki nandayo","","15","Best anime"
"42","O chin chin ga daisuki nandayo","","2","Sword art online"
"43","best anime ","","2","Sword art online"
"44","O chin chin ga daisuki nandayo","","8","What’s the best anime"
"45","best anime character","","1","Sword art online"
"46","What’s the best anime","","1","Sword art online"
"47","O chin chin ga daisuki nandayo","","194","Gabriel"
"48","O chin chin ga daisuki nandayo","","14","Justin"
"49","O chin chin ga daisuki nandayo","","1","Is gay"
"50","Amin","","1","Is gay"
"51","Justin","","1","Is gay"
"52","O chin chin ga daisuki nandayo","","16","Julian"
"53","O chin chin ga daisuki nandayo","","1","Is a cute guy"
"54","Julian ","","1","Is a cute guy"
"55","O chin chin ga daisuki nandayo","","11","Who is Julian"
"56","O chin chin ga daisuki nandayo","","1","He’s a cute guy"
"57","name","","2","He’s a cute guy"
"58","Who are you?","","1","He’s a cute guy"
"59","Who is Julian","","1","He’s a cute guy"
"60","O chin chin ga daisuki nandayo","","3","Who is Julian?"
"61","O chin chin ga daisuki nandayo","","1","What's the best anime"
"62","O chin chin ga daisuki nandayo","","1","What is Wilson's favourite past time"
"63","O chin chin ga daisuki nandayo","","12","Tze Guang"
"64","O chin chin ga daisuki nandayo","","1","Another weeb shit"
"65","Imouto san","","1","Another weeb shit"
"66","Tze Guang","","1","Another weeb shit"
"67","O chin chin ga daisuki nandayo","","1","Who is tze Guang"
"68","O chin chin ga daisuki nandayo","","1","How many times has Wilson touched himself"
"69","O chin chin ga daisuki nandayo","","2","None"
"70","best anime ","","2","None"
"71","best anime character","","1","None"
"72","What’s the best anime","","1","None"
"73","How many times has Wilson touched himself","","1","None"
"74","O chin chin ga daisuki nandayo","","2","Who's tze guang"
"75","O chin chin ga daisuki nandayo","","28","Marcus"
"76","O chin chin ga daisuki nandayo","","1","Whos a weeb faggot"
"77","O chin chin ga daisuki nandayo","","2","Weeb"
"78","name","","3","Weeb"
"79","Who are you?","","2","Weeb"
"80","Whos a weeb faggot","","2","Weeb"
"81","O chin chin ga daisuki nandayo","","5","No"
"82","O chin chin ga daisuki nandayo","","1","Julian’s lover"
"83","Ace","","1","Julian’s lover"
"84","Marcus","","1","Julian’s lover"
"85","O chin chin ga daisuki nandayo","","1","Who is Marcus Sia"
"86","O chin chin ga daisuki nandayo","","1","Hai Domo virtual AI chinchin desu"
"87","Imouto san","","1","Hai Domo virtual AI chinchin desu"
"88","Hello","","2","Hai Domo virtual AI chinchin desu"
"89","Hello world","","1","Hai Domo virtual AI chinchin desu"
"90","wow","","1","Hai Domo virtual AI chinchin desu"
"91","No","","1","Hai Domo virtual AI chinchin desu"
"92","O chin chin ga daisuki nandayo","","2","Marcus?"
"93","O chin chin ga daisuki nandayo","","163","How are you"
"94","O chin chin ga daisuki nandayo","","1","Who likes to touch chinchin"
"95","O chin chin ga daisuki nandayo","","1","Who wants to touch chinchin"
"96","O chin chin ga daisuki nandayo","","1","Do you want to touch chinchin"
"97","O chin chin ga daisuki nandayo","","2","Wilson's chinchin daisuki"
"98","best anime ","","2","Wilson's chinchin daisuki"
"99","best anime character","","1","Wilson's chinchin daisuki"
"100","What’s the best anime","","1","Wilson's chinchin daisuki"
"101","How many times has Wilson touched himself","","1","Wilson's chinchin daisuki"
"102","Do you want to touch chinchin","","1","Wilson's chinchin daisuki"
"103","O chin chin ga daisuki nandayo","","1","Do you want to touch Chin Chin"
"104","O chin chin ga daisuki nandayo","","1","Do you want to touch some Chin Chin"
"105","O chin chin ga daisuki nandayo","","13","Haish"
"106","O chin chin ga daisuki nandayo","","1","Are you a boy or a girl"
"107","O chin chin ga daisuki nandayo","","1",":>"
"108","Gay shit","","1",":>"
"109","Haish","","1",":>"
"110","O chin chin ga daisuki nandayo","","2","Himitsu~"
"111","best anime ","","2","Himitsu~"
"112","best anime character","","1","Himitsu~"
"113","What’s the best anime","","1","Himitsu~"
"114","How many times has Wilson touched himself","","1","Himitsu~"
"115","Do you want to touch chinchin","","1","Himitsu~"
"116","Are you a boy or a girl","","1","Himitsu~"
"117","O chin chin ga daisuki nandayo","","2","Do you noe de wae"
"118","O chin chin ga daisuki nandayo","","10","Good day"
"119","O chin chin ga daisuki nandayo","","1","Bad day for your dick"
"120","Imouto san","","1","Bad day for your dick"
"123","wow","","1","Bad day for your dick"
"124","Good day","","1","Bad day for your dick"
"125","O chin chin ga daisuki nandayo","","2","You are not da queen, da fake queen -spit-"
"126","best anime ","","2","You are not da queen, da fake queen -spit-"
"127","best anime character","","1","You are not da queen, da fake queen -spit-"
"128","What’s the best anime","","1","You are not da queen, da fake queen -spit-"
"129","How many times has Wilson touched himself","","1","You are not da queen, da fake queen -spit-"
"130","Do you want to touch chinchin","","1","You are not da queen, da fake queen -spit-"
"131","Are you a boy or a girl","","1","You are not da queen, da fake queen -spit-"
"132","Do you noe de wae","","1","You are not da queen, da fake queen -spit-"
"133","O chin chin ga daisuki nandayo","","5","Do you know"
"134","O chin chin ga daisuki nandayo","","1","What do you know"
"137","I'm chin chin","","3","What is your name"
"138","I'm chin chin","","11","Best anime"
"139","I'm chin chin","","4","How are you?"
"140","I'm chin chin","","4","Taj Mahal"
"141","I'm chin chin","","328","Hello"
"142","I'm chin chin","","30","Hi"
"143","I'm chin chin","","1","Whutt"
"144","Imouto san","","1","Suckadeek :>"
"145","Mahouka tatsuya","","2","Suckadeek :>"
"146","Whutt","","1","Suckadeek :>"
"147","O chin chin suki suki","","16","Thanks"
"148","O chin chin suki suki","","11","Haish"
"149","O chin chin suki suki","","2","Walao"
"150","O chin chin suki suki","","2","Wts"
"151","O chin chin suki suki","","327","Hello"
"152","O chin chin suki suki","","1","Whyy"
"154","Gay fag","","324","Hello"
"155","Gay fag","","29","Hi"
"156","Gay fag","","3","Suck my deek"
"157","O chin chin suki suki","","2","I’ll only suck Marcus’s one"
"158","Sumimaesen","","4","I’ll only suck Marcus’s one"
"159","Suck my deek","","2","I’ll only suck Marcus’s one"
"160","O chin chin suki suki","","5","Wow"
"161","O chin chin suki suki","","1","What’s one plus one"
"162","O chin chin suki suki","","1","I’m your Chin Chin"
"163","what are you ","","1","I’m your Chin Chin"
"164","O chin chin suki suki","","10","What are you"
"165","O chin chin suki suki","","5","Nice"
"168","Gay fag","","15","Thanks"
"169","Gay fag","","2","Suck a deek"
"170","Gay fag","","3","Taj Mahal"
"171","Gay fag","","8","Good day"
"172","Gay fag","","33","What time is it"
"173","Gay fag","","1","Gabriel?"
